Target Points: 
(200, 100) 
(330, 310) 
(370, 450) 

Tolerance: 10


X2       Y2       L       R1       R2       Angle 1       Angle 2

196.48   101.83   80      80       192      85.88        -69          
196.06   105.20   80      80       192      85.88        -25          
195.58   108.57   80      80       192      85.88        19           
198.87   92.35    80      96       192      85.88        -44          
198.90   95.75    80      96       192      85.88        0            
198.87   99.15    80      96       192      85.88        44           
198.78   102.55   80      96       192      85.88        88           
204.76   91.75    96      96       192      82.34        -44          
204.79   95.14    96      96       192      82.34        0            
204.76   98.54    96      96       192      82.34        44           
204.67   101.94   96      96       192      82.34        88           
190.81   104.77   96      112      176      82.34        -88          
190.89   107.89   96      112      176      82.34        -44          
197.00   103.76   112     112      176      79.14        -88          
197.08   106.88   112     112      176      79.14        -44          
197.11   109.99   112     112      176      79.14        0            
199.93   104.91   80      112      192      85.88        -88          
200.02   108.31   80      112      192      85.88        -44          
206.80   104.21   96      112      192      82.34        -88          
206.89   107.60   96      112      192      82.34        -44          
190.57   97.40    96      128      176      82.34        -63          
191.07   100.48   96      128      176      82.34        -19          
191.51   103.57   96      128      176      82.34        25           
191.89   106.66   96      128      176      82.34        69           
197.64   96.25    112     128      176      79.14        -63          
198.14   99.33    112     128      176      79.14        -19          
198.58   102.41   112     128      176      79.14        25           
198.96   105.50   112     128      176      79.14        69           
204.23   94.81    128     128      176      76.12        -63          
204.72   97.88    128     128      176      76.12        -19          
205.16   100.97   128     128      176      76.12        25           
205.55   104.06   128     128      176      76.12        69           
198.49   95.54    80      128      192      85.88        -63          
199.03   98.89    80      128      192      85.88        -19          
199.51   102.26   80      128      192      85.88        25           
199.93   105.63   80      128      192      85.88        69           
206.35   94.73    96      128      192      82.34        -63          
206.88   98.08    96      128      192      82.34        -19          
207.36   101.45   96      128      192      82.34        25           
207.78   104.82   96      128      192      82.34        69           
194.40   90.44    144     144      160      73.21        -38          
195.22   93.16    144     144      160      73.21        6            
195.98   95.88    144     144      160      73.21        50           
196.13   92.24    112     144      176      79.14        6            
196.98   95.24    112     144      176      79.14        50           
203.54   90.62    128     144      176      76.12        6            
